acceleration_y,data_format,pressure,acceleration_z,battery,temperature,acceleration,acceleration_x,humidity,time,device_mac
22,3,988.83,1022,3073,21.61,1023.8808524432909,-58,37.5,2019-10-12T07:40:06.607962,E4:49:12:58:E8:AF
20,3,988.85,1030,3079,21.61,1031.6612816229947,-55,37.5,2019-10-12T07:45:07.019244,E4:49:12:58:E8:AF
22,3,988.9,1028,3073,21.61,1029.8140608867213,-57,37.5,2019-10-12T07:50:06.507827,E4:49:12:58:E8:AF
17,3,988.96,1033,3067,21.62,1034.656464726336,-56,37.5,2019-10-12T07:55:06.940990,E4:49:12:58:E8:AF
20,3,989.03,1030,3067,21.62,1031.5565907888913,-53,37.5,2019-10-12T08:00:06.396598,E4:49:12:58:E8:AF
22,3,989.09,1031,3073,21.62,1032.9211005686736,-59,37.5,2019-10-12T08:05:06.855445,E4:49:12:58:E8:AF
20,3,989.17,1030,3061,21.62,1031.6612816229947,-55,37.5,2019-10-12T08:10:06.413771,E4:49:12:58:E8:AF
21,3,989.2,1025,3067,21.62,1026.7984222816083,-57,37.5,2019-10-12T08:15:06.878695,E4:49:12:58:E8:AF
19,3,989.25,1030,3067,21.62,1031.4368618582525,-51,37.5,2019-10-12T08:20:07.280382,E4:49:12:58:E8:AF
19,3,989.36,1032,3073,21.63,1033.5864743697066,-54,37.5,2019-10-12T08:25:06.632374,E4:49:12:58:E8:AF
20,3,989.44,1029,3061,21.64,1031.0004849659383,-61,37.5,2019-10-12T08:30:07.109490,E4:49:12:58:E8:AF
-72,3,989.43,993,3073,21.75,1033.9603474021621,279,37.5,2019-10-12T08:35:06.579190,E4:49:12:58:E8:AF
-72,3,989.27,995,3079,21.76,1035.077291799989,276,37.5,2019-10-12T08:40:07.000327,E4:49:12:58:E8:AF
-76,3,989.29,992,3067,21.77,1031.6826062311993,273,37.5,2019-10-12T08:45:07.455938,E4:49:12:58:E8:AF
